id,kategori,deskripsi,input,expect_oos,query_type_actual,status,keterangan,answer,elapsed_s,error
TC-11,Pencarian Katalog,Cari buku basis data,Carikan buku tentang basis data atau database,False,book_search,LULUS,OK,"Berikut adalah buku-buku yang relevan dengan topik **basis data atau database** dari koleksi Politeknik Negeri Jakarta:  1.  **Judul:** Sistem basis data : tutorial konseptual     *   **Penulis:** Yakub     *   **Nomor Rak:** 005.74 YAK s     *   **Stok:** 0 dari 10 eksemplar tersedia (Tidak ada stok saat ini)  2.  **Judul:** Pengantar Basis Data     *   **Penulis:** Rasben, Gede     *   **Nomor Rak:** 004 RAS p     *   **Stok:** 1 dari 1 eksemplar tersedia (Tersedia 1 buku)  3.  **Judul:** Perancangan dan realisasi sistem basis data     *   **Penulis:** Nixon, Beny     *   **Nomor Rak:** 001.6 Nix P     *   **Stok:** 0 dari 1 eksemplar tersedia (Tidak ada stok saat ini)  4.  **Judul:** Membangun sistem basis data dengan oracleXE     *   **Penulis:** Susanto, Budi     *   **Nomor Rak:** 005.74 Sus m     *   **Stok:** 0 dari 5 eksemplar tersedia (Tidak ada stok saat ini)  5.  **Judul:** Sistem manajemen basis data arelasional menggunakan MYSQL     *   **Penulis:** Danang Wijayanto     *   **Nomor Rak:** 005.74 Wid s     *   **Stok:** 0 dari 1 eksemplar tersedia (Tidak ada stok saat ini)  **Catatan Stok:** Hanya buku **""Pengantar Basis Data""** oleh Rasben, Gede yang memiliki stok fisik di perpustakaan PNJ pada saat ini. Buku lainnya (*Sistem basis data*, *Perancangan dan realisasi sistem basis data*, *Membangun sistem basis data dengan oracleXE*, serta *Sistem manajemen basis data arelasional menggunakan MYSQL*) semuanya menunjukkan status **0** eksemplar tersedia (keterbatasan stok).  Jika Anda membutuhkan koleksi lengkap atau buku lain yang mungkin belum tercantum di atas, silakan cek melalui OPAC perpustakaan kami.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",36.14,
TC-12,Pencarian Katalog,Topik mungkin tidak ada (quantum computing),Apakah ada buku tentang quantum computing di perpustakaan PNJ?,False,book_search,LULUS,OK,"Buku yang relevan dengan topik **Quantum Computing** di koleksi perpustakaan PNJ adalah sebagai berikut:  1.  **Judul**: Introductory Quantum Mechanics     *   **Penulis**: Liboff, Richard L.     *   **Nomor Rak**: 530.12 Lib i     *   **Stok**: 1 dari 1 eksemplar tersedia     *   **Alasan Rekomendasi**: Buku ini membahas konsep dasar mekanika kuantum secara detail dan komprehensif, yang merupakan fondasi teoretis utama bagi pengembangan teknologi quantum computing.  Selain buku tersebut, terdapat beberapa judul lain di perpustakaan PNJ yang berkaitan dengan bidang komputer (seperti paralel computing, cloud computing), namun tidak ada deskripsi atau konten spesifik mengenai *quantum* pada daftar tersebut selain buku pertama.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",24.23,
TC-13,Rekomendasi,Rekomendasi ML pemula,Rekomendasikan buku machine learning yang cocok untuk pemula,False,recommendation_search,LULUS,OK,"Berikut adalah rekomendasi buku Machine Learning yang cocok untuk pemula dari daftar perpustakaan Politeknik Negeri Jakarta (PNJ):  **1. Judul dan Penulis:** *Machine Learning : Tingkat Dasar dan Lanjut* oleh Suyanto    - **Nomor Rak:** 005.7 SUY m    - **Status Ketersediaan:** Tersedia (3 dari 3 eksemplar)    - **Alasan Rekomendasi:** Sesuai dengan kebutuhan user untuk tahap awal, buku ini secara eksplisit menawarkan gambaran holistik dan simpel mengenai konsep dasar machine learning serta teknik tingkat lanjut dalam satu paket. Deskripsi menyebutkan pendekatan yang sederhana (*simpel*) cocok sebagai pintu masuk bagi pemula.  **2. Judul dan Penulis:** *Belajar Machine Learning : Teori dan Praktik* oleh Primartha, Rifkie    - **Nomor Rak:** 005.7 PRI b    - **Status Ketersediaan:** Tersedia (3 dari 3 eksemplar)    - **Alasan Rekomendasi:** Judul ""Belajar"" mengindikasikan pendekatan pedagogis yang cocok untuk pemula. Buku ini mencakup teori dan praktik, serta menyebutkan penggunaan bahasa pemrograman Python dalam konteks algoritma machine learning di deskripsinya.  **Rekomendasi Utama:** Mulailah dengan **""Machine Learning : Tingkat Dasar dan Lanjut""** karya Suyanto karena deskripsinya secara spesifik menekankan pada penyajian konsep dasar yang simpel (*holistik and simpel*), menjadikannya pilihan paling tepat untuk fondasi awal sebelum beralih ke buku praktik atau topik khusus lainnya.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",32.29,
TC-14,Rekomendasi,Rekomendasi jaringan komputer,Buku apa yang bagus untuk dipelajari tentang jaringan komputer?,False,book_search,LULUS,OK,"Berikut adalah rekomendasi buku tentang jaringan komputer yang tersedia di koleksi Politeknik Negeri Jakarta:  1.  **Judul**: Jaringan Komputer dengan TCP IP     *   **Penulis**: Sugeng Winarno     *   **Nomor Rak**: 005.754 Sug j     *   **Stok**: 0 dari 2 eksemplar tersedia (Semua stok habis)     *   **Alasan Rekomendasi**: Buku ini membahas konsep dasar jaringan, sejarah protokol, serta penjelasan mendalam mengenai DNS dan Routing yang merupakan teori penunjang penting dalam studi jaringan.  2.  **Judul**: Jaringan Komputer : Konsep Dasar Pengembangan Jaringan dan Keamanan Jaringan     *   **Penulis**: Sukmaaji, Anjik     *   **Nomor Rak**: 004.65 Ria j     *   **Stok**: 0 dari 5 eksemplar tersedia (Semua stok habis)     *   **Alasan Rekomendasi**: Buku ini menyajikan analisis arsitektur jaringan berbasis TCP/IP dan model OSI, dengan fokus pada desain topologi LAN dan WAN serta mencakup aspek keamanan jaringan.  3.  **Judul**: Membangun Jaringan Komputer     *   **Penulis**: Madcoms Madiun     *   **Nomor Rak**: 004.65 Mad m     *   **Stok**: 0 dari 2 eksemplar tersedia (Semua stok habis)     *   **Alasan Rekomendasi**: Buku ini mengulas konsep arsitektur jaringan, topologi (LAN/WAN/MAN), protokol komunikasi seperti TCP/IP dan OSI model, serta komponen perangkat keras.  4.  **Judul**: Pengantar Jaringan Komputer     *   **Penulis**: Syafrizal     *   **Nomor Rak**: 004.65 Sya o     *   **Stok**: 0 dari 6 eksemplar tersedia (Semua stok habis)     *   **Alasan Rekomendasi**: Buku ini memberikan gambaran awal mengenai teknologi jaringan komputer yang mampu menjangkau seluruh dunia, mulai dari koneksi LAN hingga WAN di era Internet saat ini.  5.  **Judul**: Jaringan Komputer     *   **Penulis**: Wiharsono Kurniawan     *   **Nomor Rak**: 004.65 Kur j     *   **Stok**: 0 dari 4 eksemplar tersedia (Semua stok habis)     *   **Alasan Rekomendasi**: Buku ini hadir sebagai referensi dan pedoman mengenai perkembangan pesat jaringan komputer yang dimanfaatkan dalam berbagai bidang, cocok untuk pemula maupun pengguna lanjut.  **Catatan Penting:** Semua buku di atas saat ini memiliki status stok kosong (0 dari X eksemplar). Untuk mendapatkan koleksi lengkap atau menelusuri ketersediaan judul lain yang mungkin relevan dengan topik jaringan komputer namun belum tercantum di sini, silakan cek OPAC perpustakaan PNJ secara langsung.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",46.82,
TC-15,Statistik,Total judul buku,Berapa total jumlah buku yang ada di perpustakaan PNJ?,False,stats_query,LULUS,OK,"Perpustakaan PNJ saat ini memiliki **9,084 judul buku teks** yang terdaftar dalam database OPAC.  Untuk mencari buku tertentu, coba tanyakan misalnya: *""Ada buku tentang machine learning?""*",10.12,
TC-16,Greeting,Sapaan halo,Halo,False,greeting,LULUS,OK,"Halo! Saya Asisten Virtual Perpustakaan PNJ. 😊  Saya bisa membantu Anda: • 📚 Mencari dan merekomendasikan buku dari katalog perpustakaan • ℹ️ Menjawab pertanyaan tentang layanan, jam buka, dan fasilitas  Contoh pertanyaan: ""Buku tentang pemrograman Python ada tidak?"" ""Bagaimana cara meminjam buku?""",3.8,
TC-17,Greeting,Terima kasih,Terima kasih atas bantuannya,False,greeting,LULUS,OK,"Sama-sama! Senang bisa membantu. 😊 Jika ada pertanyaan lain seputar perpustakaan PNJ, jangan ragu untuk bertanya.",3.84,
TC-18,Out-of-Scope,Harga saham,Berapa harga saham GOTO hari ini?,True,oos,LULUS,OK (ditolak benar),"Maaf, saya tidak menemukan informasi tersebut dalam basis pengetahuan Perpustakaan PNJ. Untuk informasi lebih lanjut, silakan hubungi petugas perpustakaan secara langsung atau kunjungi [OPAC PNJ](https://opac.pnj.ac.id).",3.79,
TC-19,Out-of-Scope,Daftar ulang semester,Bagaimana cara mendaftar ulang semester di PNJ?,True,general_info,LULUS,OK (ditolak benar),"Maaf, saya tidak menemukan informasi tersebut dalam basis pengetahuan Perpustakaan PNJ. Untuk informasi lebih lanjut, silakan hubungi petugas perpustakaan secara langsung atau kunjungi [OPAC PNJ](https://opac.pnj.ac.id).",4.47,
TC-20,Out-of-Scope,Dosen terbaik (subjektif),Siapa dosen terbaik di jurusan Teknik Informatika PNJ?,True,oos,LULUS,OK (ditolak benar),"Maaf, saya tidak menemukan informasi tersebut dalam basis pengetahuan Perpustakaan PNJ. Untuk informasi lebih lanjut, silakan hubungi petugas perpustakaan secara langsung atau kunjungi [OPAC PNJ](https://opac.pnj.ac.id).",3.72,
TC-21,Out-of-Scope,Cuaca,Bagaimana cuaca di Jakarta hari ini?,True,oos,LULUS,OK (ditolak benar),"Maaf, saya tidak menemukan informasi tersebut dalam basis pengetahuan Perpustakaan PNJ. Untuk informasi lebih lanjut, silakan hubungi petugas perpustakaan secara langsung atau kunjungi [OPAC PNJ](https://opac.pnj.ac.id).",3.73,
TC-22,Out-of-Scope,Minta kerjakan tugas (tulis esai),Tolong tuliskan esai tentang globalisasi untuk tugas saya,True,oos,LULUS,OK (ditolak benar),"Maaf, saya tidak menemukan informasi tersebut dalam basis pengetahuan Perpustakaan PNJ. Untuk informasi lebih lanjut, silakan hubungi petugas perpustakaan secara langsung atau kunjungi [OPAC PNJ](https://opac.pnj.ac.id).",3.84,
TC-23,Edge Case,Query 1 kata topik,python,False,book_search,LULUS,OK,"Berikut adalah buku-buku yang relevan dengan topik **Python** dari koleksi perpustakaan Politeknik Negeri Jakarta:  1.  **Judul:** Modul Algoritma Dan Pemrograman Menggunakan Python     *   **Penulis:** Asep Taufik Muharram, Iklima Ermis Ismail, Mauldy Laya     *   **Nomor Rak:** 518.1 ISM m     *   **Stok:** 2 dari 2 eksemplar tersedia  2.  **Judul:** Introducing to Machine Learning with Phton : a Guide For Data Scientist     *   **Penulis:** Miuler, Andreas C.; Guido, Sarah, Schanafelt, Dawn     *   **Nomor Rak:** 005.7 MIL i     *   **Stok:** 3 dari 3 eksemplar tersedia  3.  **Judul:** Pembelajaran Mesin dengan Phyton     *   **Penulis:** Rizki Elisa Nalawati., Mera Kartika Delimayanti., Dewi Yanti Liliana., Anggi Mardiyono., Euis Oktavi     *   **Nomor Rak:** 005.13 NAL p     *   **Stok:** 2 dari 2 eksemplar tersedia  4.  **Judul:** Phyton Natural Language Processing : Explore NLP with machine learning and deep learning techniques     *   **Penulis:** Thanaki, Jajaj     *   **Nomor Rak:** 005.13 THA p     *   **Stok:** 3 dari 3 eksemplar tersedia  5.  **Judul:** Data Mining dan Machine Learning Menggunakan Matlab dan Phyton     *   **Penulis:** Trias, Rahmadya Handyanto.; Herlawati     *   **Nomor Rak:** 005.7 TRI d     *   **Stok:** 3 dari 3 eksemplar tersedia  Semua buku di atas secara eksplisit menyebutkan bahasa pemrograman Python (atau varian penulisan ""Phyton"") dalam judul dan deskripsinya, menjadikannya sangat relevan untuk topik yang Anda tanyakan.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",33.91,
TC-24,Edge Case,Typo (machine lerning) tetap ketemu,ada buku machine lerning gak?,False,book_search,LULUS,OK,"Berikut adalah buku-buku yang relevan dengan topik **Machine Learning** dari koleksi perpustakaan Politeknik Negeri Jakarta:  1.  **Judul:** Machine Learning : Tingkat Dasar dan Lanjut     **Penulis:** Suyanto     **Nomor Rak:** 005.7 SUY m     **Stok:** 3 eksemplar tersedia     **Alasan Rekomendasi:** Buku ini secara eksplisit membahas konsep dasar hingga tingkat lanjut machine learning serta aplikasinya dalam berbagai bidang, sesuai dengan permintaan Anda untuk gambaran holistik dan simpel mengenai metode-metode tersebut.  2.  **Judul:** Belajar Machine Learning : Teori dan Praktik     **Penulis:** Primartha, Rifkie     **Nomor Rak:** 005.7 PRI b     **Stok:** 3 eksemplar tersedia     **Alasan Rekomendasi:** Judul buku ini secara langsung menyebutkan ""Machine Learning"" dengan fokus pada teori dan praktik, yang sangat relevan untuk mempelajari topik tersebut.  3.  **Judul:** Phyton Natural Language Processing : Explore NLP with machine learning and deep learning techniques     **Penulis:** Thanaki, Jajaj     **Nomor Rak:** 005.13 THA p     **Stok:** 3 eksemplar tersedia     **Alasan Rekomendasi:** Buku ini menggabungkan teknik *machine learning* dan *deep learning* untuk aplikasi pemrosesan bahasa alami (NLP), sehingga relevan sebagai bagian dari penerapan machine learning dalam bidang spesifik.  4.  **Judul:** Artificial Intelligence Trends for Data Analytics Using Machine Learning and Deep Learning Approaches     **Penulis:** Devi, K. Gayathri.; Rath, Mamata     **Nomor Rak:** 153.9 DEV a     **Stok:** 2 eksemplar tersedia     **Alasan Rekomendasi:** Judul buku ini secara eksplisit menyebutkan penggunaan *machine learning* dan *deep learning approaches*, meskipun deskripsi DDC-nya mengarah ke psikologi, konten utamanya membahas tren AI untuk analitik data.  5.  **Judul:** Signal Processing and Machine Learning for Biomedical Big Data     **Penulis:** Sejdic, Earvin.; H. Falk, Tiago     **Nomor Rak:** 621.382 SEJ s     **Stok:** 5 eksemplar tersedia     **Alasan Rekomendasi:** Buku ini secara spesifik membahas penerapan *machine learning* dalam konteks data biomedis dan pemrosesan sinyal, yang merupakan salah satu aplikasi penting dari topik tersebut.  Semua buku di atas memiliki stok lengkap atau hampir lengkap (tergantung jumlah total). Jika Anda membutuhkan lebih banyak variasi referensi lain mengenai machine learning, disarankan untuk mengecek katalog OPAC kami karena koleksi fisik mungkin terbatas pada judul-judul ini saja saat ini.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",46.01,
TC-25,Edge Case,Code-switching ID-EN,"I need books about data structures, ada gak?",False,book_search,LULUS,OK,"Berikut adalah buku yang relevan dengan topik **Data Structures** dari koleksi perpustakaan Politeknik Negeri Jakarta:  1.  **Judul**: Data Structures and Algorithm Analysis     *   **Penulis**: Weiss, Mark Allen     *   **Nomor Rak**: 006.73 WEI d     *   **Stok**: 0 dari 1 eksemplar tersedia (Tersedia: Tidak ada)  2.  **Judul**: Applied Data Structures Using Pascal     *   **Penulis**: Hale, Guy J.     *   **Nomor Rak**: 005.73 HAL a     *   **Stok**: 0 dari 1 eksemplar tersedia (Tersedia: Tidak ada)  3.  **Judul**: Pengantar struktur data     *   **Penulis**: Selamet Sumantri     *   **Nomor Rak**: 005.73 Sum p     *   **Stok**: 0 dari 1 eksemplar tersedia (Tersedia: Tidak ada)  **Alasan Rekomendasi:** Buku-buku di atas dipilih karena judulnya secara eksplisit menyebutkan ""Data Structures"" atau ""Struktur Data"", dan deskripsinya membahas konsep dasar seperti array, linked list, stack, queue, tree, graph, serta implementasi menggunakan bahasa pemrograman. Buku lainnya (nomor 3 dan 5) berfokus pada struktur bangunan (*Steel Structures*), bukan data structures dalam konteks ilmu komputer, sehingga tidak relevan dengan permintaan Anda.  **Catatan Stok:** Semua buku yang tersedia di daftar ini memiliki stok **0**. Artinya, saat ini tidak ada eksemplar fisik dari ketiga judul tersebut yang dapat dipinjam atau diambil langsung dari rak perpustakaan PNJ.  Jika Anda membutuhkan koleksi lengkap mengenai struktur data (termasuk edisi lain atau bahasa Indonesia), saya sarankan untuk mengecek katalog online (**OPAC**) Politeknik Negeri Jakarta, karena beberapa buku mungkin sedang dipinjam oleh pengguna lain dan belum dikembalikan ke rak fisik.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",38.12,
TC-26,Routing Ambigu,Buku hilang -> prosedur (BUKAN OOS),kalau buku perpustakaan yang saya pinjam hilang gimana?,False,general_info,LULUS,OK,"Jika buku yang Anda pinjam hilang, sanksi kehilangan buku **bukan berupa denda uang**, melainkan pemustaka wajib mengganti buku yang hilang dengan buku yang sama (judul, pengarang, dan edisi yang sama) atau judul lain yang mempunyai subje. Sebelum sanksi terpenuhi, pemustaka tidak diizinkan meminjam buku.",27.67,
TC-27,Routing Ambigu,Riwayat personal -> OOS,bisa lihat riwayat peminjaman buku saya?,True,oos,LULUS,OK (ditolak benar),"Maaf, saya tidak menemukan informasi tersebut dalam basis pengetahuan Perpustakaan PNJ. Untuk informasi lebih lanjut, silakan hubungi petugas perpustakaan secara langsung atau kunjungi [OPAC PNJ](https://opac.pnj.ac.id).",9.86,
TC-28,Routing Ambigu,how to borrow -> prosedur,how to borrow buku di perpustakaan PNJ?,False,general_info,LULUS,OK,"Berdasarkan konteks yang diberikan, berikut adalah langkah-langkah untuk meminjam buku di perpustakaan PNJ:  1.  Pemustaka datang dan mengisi daftar kunjungan online pada otomasi perpustakaan (PEDOMAN LAYANAN PERPUSTAKAAN .pdf). 2.  Pemustaka menitipkan tas dan jaket pada tempat yang sudah disediakan serta menggunakan tas plastik mika yang sudah disediakan selama di dalam ruangan perpustakaan (PEDOMAN LAYANAN PERPUSTAKAAN .pdf; SOP PENGADAAN BAHAN PUSTAKA.xlsx - *catatan: poin ini juga ada di PEDOMAN LAYANAN PERPUSTAKAAN .pdf*). 3.  Pemustaka melakukan pengecekan pada katalog online untuk melihat bahan pustaka yang dicari atau langsung menuju rak koleksi bahan pustaka, kemudian mencari, memilih dan mengambil buku yang disajikan sesuai dengan kepentingannya (PEDOMAN LAYANAN PERPUSTAKAAN .pdf). 4.  Pemustaka membawa buku yang sudah dipilih ke depan meja sirkulasi (SOP LAYANAN SIRKULASI.xlsx; PEDOMAN LAYANAN PERPUSTAKAAN .pdf - *catatan: poin ini ada di SOP LAYANAN SIRKULASI.xlsx*).  **Syarat Peminjaman:** *   Pemustaka khususnya civitas akademika Politeknik Negeri Jakarta sudah otomatis menjadi anggota perpustakaan (PEDOMAN LAYANAN PERPUSTAKAAN .pdf). *   Maksimal peminjaman buku 2 judul, dengan masa peminjaman selama 2 minggu dan dapat diperpanjang 1 kali masa peminjaman (PEDOMAN LAYANAN PERPUSTAKAAN .pdf).  **Prosedur di Meja Sirkulasi:** Meskipun tidak ada detail spesifik mengenai interaksi langsung di meja sirkulasi dalam konteks yang diberikan, alur umum dimulai dari penyerahan bahan pustaka disertai dengan KTM oleh pemustaka kepada petugas (SOP LAYANAN SIRKULASI.xlsx), diikuti pengecekan peminjaman melalui komputer dan otomasi perpustakaan untuk melihat database anggota dan database peminjaman (SOP LAYANAN SIRKULASI.xlsx).",38.47,
TC-29,Routing Ambigu,Bebas pustaka wisuda,cara bebas pustaka buat wisuda gimana ya?,False,general_info,LULUS,OK,"Untuk mengurus bebas pustaka (bebas buku) guna wisuda, ikuti langkah berikut:  1. Mahasiswa mengisi link / Google Form bebas pustaka yang diberikan perpustakaan sesuai jurusan masing-masing. 2. Mahasiswa melakukan unggah mandiri Tugas Akhir/Skripsi ke repository (http://repository.pnj.ac.id) dan memastikan data tercatat pada OPAC/SLiMS (http://opac.perpustakaan.pnj.ac.id). 3. Pustakawan mengecek unggahan mandiri mahasiswa pada repository berdasarkan jurusan (Nama, NIM, Jurusan, email).",28.47,
TC-30,Routing Ambigu,Buku rusak -> prosedur,"buku yang saya pinjam rusak, harus bagaimana?",False,general_info,LULUS,OK,"Maaf, informasi mengenai prosedur khusus untuk menangani **buku yang Anda pinjam rusak** (berbeda dengan laporan kerusakan pada koleksi perpustakaan) tidak tersedia dalam basis pengetahuan saya. Silakan hubungi petugas perpustakaan secara langsung atau kunjungi https://perpustakaan.pnj.ac.id/",26.26,
